0,1,2,3,4,5,6,7,8,9,10,11,12,13,Class
-24.2221858162,-85.104977192,16.3663417677,75.2851721314,40.5885275839,11.129112402,-36.6606055596,-7.8558440485,-3.92792202425,-4.58257569496,-1.30930734142,-9.16515138991,-21.6035711334,-32.7326835354,36
-147.297075909,-305.723264221,72.0119037779,420.942310265,327.326835354,134.204002495,-236.984628796,-54.3362546688,-91.6515138991,-9.16515138991,-39.2792202425,-174.137876408,-55.6455620102,-54.9909083395,3
-138.131924519,-278.227810051,66.1200207415,384.936358376,308.341878903,124.384197435,-223.891555382,-56.3002156809,-77.2491331435,-15.711688097,-49.7536789738,-179.375105774,-58.9188303637,-57.6095230223,3
-134.204002495,-248.768394869,64.1560597294,373.152592304,291.320883465,119.146968069,-226.510170065,-64.8107134001,-75.2851721314,-10.4744587313,-47.135064291,-174.137876408,-42.552488596,-62.1920987173,3
-128.966773129,-245.495126515,66.1200207415,363.987440914,282.155732075,121.765582752,-221.92759437,-56.9548693516,-74.6305184607,-13.0930734142,-41.8978349253,-174.137876408,-42.552488596,-54.9909083395,3
-131.585387812,-247.459087528,69.393289095,360.71417256,282.155732075,118.492314398,-218.654326016,-62.1920987173,-80.5224014971,-18.3303027798,-41.8978349253,-166.936686031,-39.9338739132,-54.9909083395,3
-132.240041483,-256.624238918,75.2851721314,375.771206986,285.429000429,113.255085032,-218.654326016,-66.7746744122,-83.1410161799,-22.9128784748,-37.3152592304,-165.627378689,-39.9338739132,-52.3722936566,3
-140.095885532,-254.005624235,73.97586479,375.116553316,305.06861055,115.873699715,-226.510170065,-70.0479427658,-95.5794359234,-13.7477270849,-47.7897179617,-176.10183742,-37.3152592304,-41.2431812546,3
-134.858656166,-244.840472845,69.393289095,367.260709267,301.140688526,118.492314398,-214.071750322,-64.8107134001,-83.1410161799,-8.5104977192,-36.6606055596,-170.864608055,-39.9338739132,-43.8617959374,3
-117.183007057,-220.618287029,60.2281377051,339.110601427,276.918502709,109.981816679,-208.834520956,-59.5734840344,-73.3212111193,-22.9128784748,-44.5164496081,-168.900647043,-37.3152592304,-54.3362546688,4
-117.183007057,-212.76244298,60.2281377051,340.419908768,271.681273344,110.63647035,-208.834520956,-64.1560597294,-73.3212111193,-15.0570344263,-43.8617959374,-163.663417677,-32.0780298647,-49.0990253031,4
-109.327163008,-214.071750322,59.5734840344,347.621099146,254.005624235,121.110929081,-206.215906273,-56.3002156809,-73.3212111193,-17.0209954384,-43.8617959374,-166.28203236,-29.4594151819,-53.6816009981,4
-114.564392374,-215.381057663,53.0269473273,334.528025732,255.314931576,102.780626301,-203.59729159,-55.6455620102,-66.1200207415,-13.7477270849,-35.3512982182,-166.28203236,-37.3152592304,-50.4083326445,4
-109.327163008,-206.870559944,52.3722936566,320.125644976,261.861468283,102.780626301,-200.324023237,-57.6095230223,-68.0839817536,-11.7837660727,-35.3512982182,-166.936686031,-29.4594151819,-43.2071422667,4
-104.089933643,-189.194910835,53.0269473273,310.960493586,243.531165503,113.255085032,-190.504218176,-52.3722936566,-71.3572501072,-8.5104977192,-36.6606055596,-161.699456665,-25.5314931576,-45.8257569496,4
-98.8527042769,-189.194910835,50.4083326445,312.924454598,235.675321455,102.12597263,-193.122832859,-57.6095230223,-63.5014060587,-13.7477270849,-41.8978349253,-156.462227299,-30.7687225233,-45.8257569496,4
-98.8527042769,-189.849564505,53.0269473273,314.23376194,230.438092089,99.5073579476,-195.086793871,-63.5014060587,-66.1200207415,-17.0209954384,-43.2071422667,-155.807573628,-32.0780298647,-47.7897179617,4
-101.47131896,-181.339066786,64.8107134001,322.089605988,248.113741198,94.9247822527,-207.525213614,-74.6305184607,-75.9398258021,-14.4023807556,-39.9338739132,-161.044802994,-20.9489174627,-56.3002156809,4
-111.29112402,-193.122832859,67.4293280829,333.21871839,254.005624235,99.5073579476,-218.654326016,-75.9398258021,-73.3212111193,-12.4384197435,-49.0990253031,-160.390149323,-28.8047615112,-53.6816009981,4
-132.240041483,-245.495126515,72.0119037779,383.627051035,289.356922453,108.017855667,-239.603243479,-70.0479427658,-85.104977192,-18.3303027798,-47.7897179617,-182.648374128,-39.9338739132,-60.8827913758,3
-139.441231861,-255.969585247,71.3572501072,391.482895083,312.269800928,129.6214268,-239.603243479,-73.97586479,-85.104977192,-13.0930734142,-50.4083326445,-195.741447542,-39.2792202425,-55.6455620102,3
-131.585387812,-251.387009552,69.393289095,370.533977621,297.212766501,116.528353386,-234.366014113,-66.7746744122,-83.1410161799,-18.3303027798,-41.2431812546,-179.375105774,-34.0419908768,-66.1200207415,3
-134.204002495,-251.387009552,72.0119037779,375.116553316,289.356922453,119.146968069,-244.840472845,-64.1560597294,-85.7596308627,-21.6035711334,-47.135064291,-187.885603493,-34.0419908768,-66.1200207415,3
-139.441231861,-249.42304854,76.5944794728,396.720124449,293.284844477,123.729543764,-252.696316893,-73.97586479,-82.4863625092,-24.8768394869,-50.4083326445,-189.849564505,-45.1711032789,-64.1560597294,3
-149.261036921,-274.299888027,70.7025964365,401.957353815,322.744259659,135.513309837,-242.876511833,-79.8677478264,-85.104977192,-14.4023807556,-60.2281377051,-193.122832859,-47.7897179617,-64.1560597294,3
-142.059846544,-272.990580685,68.7386354243,396.720124449,306.377917891,127.657465788,-242.221858162,-64.8107134001,-82.4863625092,-13.7477270849,-50.4083326445,-185.26698881,-47.7897179617,-75.2851721314,3
-138.78657819,-279.537117392,70.7025964365,392.137548754,306.377917891,113.255085032,-245.495126515,-73.3212111193,-90.3422065577,-13.7477270849,-56.3002156809,-185.26698881,-51.0629863152,-55.6455620102,3
-136.167963507,-265.134736637,73.97586479,408.503890522,304.413956879,119.146968069,-247.459087528,-72.6665574486,-90.3422065577,-19.6396101212,-49.7536789738,-187.885603493,-41.8978349253,-55.6455620102,3
-139.441231861,-261.861468283,73.97586479,403.266661156,309.651186245,121.765582752,-244.840472845,-75.9398258021,-87.7235918749,-19.6396101212,-56.3002156809,-196.396101212,-47.7897179617,-58.9188303637,3
-142.059846544,-261.861468283,71.3572501072,400.648046473,312.269800928,124.384197435,-244.840472845,-79.2130941557,-87.7235918749,-20.2942637919,-53.0269473273,-190.504218176,-41.8978349253,-58.9188303637,3
-136.822617178,-253.350970564,71.3572501072,392.792202425,303.759303209,142.059846544,-239.603243479,-64.1560597294,-79.2130941557,-19.6396101212,-46.4804106203,-187.230949822,-41.8978349253,-62.1920987173,3
-136.822617178,-256.624238918,66.1200207415,391.482895083,303.759303209,127.002812117,-234.366014113,-66.7746744122,-77.2491331435,-15.711688097,-49.7536789738,-191.158871847,-47.7897179617,-63.5014060587,3
-139.441231861,-263.825429295,69.393289095,388.864280401,296.558112831,119.146968069,-236.984628796,-61.5374450465,-77.2491331435,-18.3303027798,-44.5164496081,-176.756491091,-45.8257569496,-68.7386354243,3
-136.822617178,-253.350970564,71.3572501072,384.281704706,291.320883465,124.384197435,-234.366014113,-58.9188303637,-76.5944794728,-15.711688097,-38.6245665718,-181.993720457,-45.1711032789,-58.9188303637,3
-131.585387812,-254.005624235,63.5014060587,373.152592304,290.666229794,118.492314398,-229.128784748,-59.5734840344,-75.2851721314,-15.711688097,-44.5164496081,-184.61233514,-45.1711032789,-54.3362546688,3
-126.348158447,-242.876511833,69.393289095,376.425860657,286.083654099,119.146968069,-239.603243479,-67.4293280829,-79.8677478264,-21.6035711334,-52.3722936566,-181.993720457,-39.9338739132,-57.6095230223,3
-129.6214268,-225.855516394,63.5014060587,373.807245974,288.702268782,123.729543764,-231.747399431,-76.5944794728,-72.0119037779,-21.6035711334,-49.7536789738,-187.230949822,-39.9338739132,-57.6095230223,3
-128.966773129,-240.25789715,69.393289095,377.080514328,286.083654099,129.6214268,-234.366014113,-73.3212111193,-77.2491331435,-18.3303027798,-53.0269473273,-187.230949822,-45.1711032789,-66.1200207415,3
-134.204002495,-254.005624235,66.1200207415,392.137548754,303.759303209,118.492314398,-236.984628796,-67.4293280829,-82.4863625092,-16.3663417677,-41.2431812546,-193.122832859,-42.552488596,-54.9909083395,3
-136.822617178,-240.25789715,68.7386354243,387.554973059,291.320883465,127.002812117,-236.984628796,-67.4293280829,-83.1410161799,-18.9849564505,-43.8617959374,-184.61233514,-36.6606055596,-57.6095230223,3
-131.585387812,-246.149780186,66.1200207415,378.389821669,294.594151819,130.276080471,-234.366014113,-64.8107134001,-77.9037868142,-15.711688097,-44.5164496081,-187.230949822,-41.8978349253,-57.6095230223,3
