,0,1,2
2,6971.24447078,6802.75094894,7090.91323185
3,7170.69377808,7090.19662799,5942.10375753
4,6751.31455014,6787.95414411,6738.97959222
5,5595.22103752,6271.40244326,6331.43678462
6,6228.00283465,6191.5355628,6333.9684387
7,6177.94759392,5961.49590042,6483.45469254
8,5014.74501055,6393.13301709,5423.46894928
9,5512.89254981,5673.18907185,5496.18704441
10,5767.75966172,3605.22651309,4281.83193931
11,4708.02652229,5571.31929677,4851.7405884
12,5878.80847582,5003.54080577,5572.19543364
13,5430.19055372,5077.76751301,4889.20277106
14,4053.65939552,4180.57897264,5398.03790025
15,3760.78834871,4083.29541969,3619.73176478
16,3429.95676591,3808.73168841,3635.66365917
17,3812.99160805,3171.83295535,4153.71698264
18,3638.89765556,3839.67788063,4057.52953348
19,2399.28760736,4489.34623549,3841.16572759
20,2198.39305772,3776.68223145,2865.11734918
21,2887.2680054,3912.92705836,3204.70591392
22,3446.28372716,2977.29339245,3106.73476183
23,2615.71376003,2061.00442903,2695.35858427
24,2549.56773911,3317.6876706,3584.52993227
25,1727.93655956,2941.51899259,2473.38538184
26,2116.10797393,1981.64338656,2820.64222367
27,761.129909677,2595.12388952,3314.83028823
28,2181.50238296,2385.7969374,1245.78564758
29,855.832278852,2626.2517345,1330.65665401
30,1549.4570561,842.913073531,910.142998306
31,799.494319934,287.262226944,304.730254362
32,539.152854068,211.963192596,724.238490822
33,468.664088369,90.5942733519,622.405809981
34,58.1205294229,1048.11342674,11.7325688173
35,376.658879831,43.4611871556,191.83472434
