iter,time,reward,steps,convergence
1,0.015938211000005253,-299.0,300.0,83.11348571016147
2,0.03984553499999777,-295.75,298.77,58.23353300577415
3,0.02638564299999757,-299.0,300.0,38.84581878239183
4,0.10391620299999715,-297.1,299.11,29.8069100635148
5,0.03848151100000052,-290.68,295.72,22.438309664224292
6,0.043418144000000325,-293.18,297.21,13.718150160755068
7,0.05165375100000347,-292.04,297.08,8.841127539467273
8,0.04194846400000074,-283.65,293.74,7.204993119736184
9,0.06385991600001262,-278.69,288.78,5.401980145875479
10,0.05813739699999587,-253.58,274.78,4.551380007194734
11,0.05868732899999429,-226.11,256.4,3.4272461771894864
12,0.07392503999999178,-119.14,186.8,3.32418491735782
13,0.06075504500000761,-11.2,109.16,2.395554659930271
14,0.07212790699999516,50.84,51.16,1.6987477707336112
15,0.07408008200000893,63.02,38.98,1.1281095186312013
16,0.06844615800000042,64.14,37.86,0.8528256673600572
17,0.07160421000000383,63.93,38.07,0.5211894373265533
18,0.08362946600000498,63.79,38.21,0.3807643057372454
19,0.08294380600000295,63.21,38.79,0.2570876824456123
20,0.10382538999999724,64.34,37.66,0.1718330878112248
21,0.088617536000001,64.05,37.95,0.08300745332799053
22,0.11936600399999975,63.92,38.08,0.04224990773345372
23,0.0940880340000092,64.2,37.8,0.03215704916524231
24,0.16301536400000316,63.65,38.35,0.018698794743903235
25,0.17310223200000507,63.7,38.3,0.009848155966117211
26,0.14069855799999686,63.97,38.03,0.005548247199273604
27,0.11202239399999314,63.75,38.25,0.0029980045199673455
28,0.1210018479999917,64.38,37.62,0.001704348581649917
29,0.12510721600000352,63.53,38.47,0.001098041835507324
30,0.11815710099999421,63.81,38.19,0.0007040564193845356
31,0.13626437599999974,63.44,38.56,0.00036851043725860677
32,0.12841576900000007,63.85,38.15,0.00017597715894446253
33,0.1377573620000021,63.07,38.93,7.958484426051626e-05
34,0.141299410000002,64.11,37.89,3.4703079532683034e-05
35,0.16983905499999707,64.03,37.97,1.4740276611746594e-05
36,0.16046916700000224,64.46,37.54,6.137905946168587e-06
37,0.1549075889999898,63.34,38.66,2.5163281955897787e-06
38,0.15056067800000505,63.71,38.29,1.018706737632158e-06
39,0.154068819999992,63.05,38.95,4.0814656809828875e-07
40,0.18847058499999036,63.81,38.19,1.621001333163008e-07
41,0.18784237599999187,65.28,36.72,6.390032858405448e-08
42,0.16586042400000167,63.62,38.38,2.5027141248301632e-08
43,0.16378841499999908,64.64,37.36,9.746726092885183e-09
44,0.18480577799999764,63.93,38.07,3.7768810301486155e-09
45,0.1904616610000005,64.27,37.73,1.4570495920906978e-09
46,0.1958439080000005,64.27,37.73,5.598650432148133e-10
47,0.18693740400000536,63.86,38.14,2.1435653252410702e-10
48,0.1799213390000034,64.1,37.9,8.180389698964063e-11
49,0.19634925900000155,64.53,37.47,3.112887725364999e-11
50,0.2164480839999925,63.94,38.06,1.1811884803591965e-11
51,0.1971813700000098,63.83,38.17,4.4710901647704304e-12
52,0.2090542279999994,63.95,38.05,1.6893153542696382e-12
53,0.23853659899999968,63.73,38.27,6.359357485052897e-13
54,0.2656441049999927,63.71,38.29,2.4069635173873394e-13
55,0.26925801800000215,63.84,38.16,8.970602038971265e-14
56,0.298550603999999,63.53,38.47,3.4638958368304884e-14
57,0.3077610589999864,64.94,37.06,1.3322676295501878e-14
58,0.2766991749999903,63.41,38.59,3.552713678800501e-15
59,0.5847740619999939,63.87,38.13,1.7763568394002505e-15
60,0.6053016609999986,63.37,38.63,0.0
61,0.3368376720000015,64.0,38.0,0.0
62,0.4019117020000067,64.11,37.89,0.0
63,1.0645012610000038,64.45,37.55,0.0
64,0.38986612600000115,64.15,37.85,0.0
65,0.39972199400000363,63.4,38.6,0.0
66,0.37705270000000723,64.23,37.77,0.0
67,0.3204027499999995,63.27,38.73,0.0
68,0.3782060180000002,64.12,37.88,0.0
69,0.3248000739999952,63.33,38.67,0.0
70,0.5089680389999955,63.79,38.21,0.0
71,0.745747539000007,64.06,37.94,0.0
72,0.41237899899999775,64.08,37.92,0.0
73,0.4782819790000019,64.85,37.15,0.0
74,0.41719002799999316,63.79,38.21,0.0
75,0.805369240999994,63.97,38.03,0.0
76,0.5711122689999968,62.73,39.27,0.0
77,0.5214390409999936,64.79,37.21,0.0
78,0.702625243,63.68,38.32,0.0
79,0.6571753159999929,64.97,37.03,0.0
80,0.6195894299999907,63.21,38.79,0.0
81,0.6409316510000025,65.12,36.88,0.0
82,0.6731365680000039,64.58,37.42,0.0
83,0.7411902559999959,63.73,38.27,0.0
84,0.6947187370000023,64.19,37.81,0.0
85,0.7684064350000028,64.45,37.55,0.0
86,0.8062048059999967,63.6,38.4,0.0
87,0.7571096960000006,63.2,38.8,0.0
88,0.8765643290000042,64.09,37.91,0.0
89,0.7854804960000052,63.8,38.2,0.0
90,0.799818608999999,64.32,37.68,0.0
91,0.7434314689999866,63.8,38.2,0.0
92,0.8458706059999912,63.38,38.62,0.0
93,0.6776045189999991,64.23,37.77,0.0
94,0.6977165859999985,64.34,37.66,0.0
95,0.8157000310000058,63.76,38.24,0.0
96,0.9798080230000039,63.71,38.29,0.0
97,0.8959369739999943,64.65,37.35,0.0
98,0.9595986319999952,65.23,36.77,0.0
99,1.1138168159999964,64.91,37.09,0.0
100,1.270879404999988,65.2,36.8,0.0
101,1.0189618690000088,64.01,37.99,0.0
102,1.1742398439999988,64.51,37.49,0.0
103,0.9422555410000086,63.75,38.25,0.0
104,1.0009263899999894,63.79,38.21,0.0
105,1.5541243189999818,63.41,38.59,0.0
106,1.1693361580000214,64.37,37.63,0.0
107,1.3963500920000058,63.67,38.33,0.0
108,0.9505537760000209,64.95,37.05,0.0
109,1.1288428780000004,63.51,38.49,0.0
110,1.7926666379999858,64.66,37.34,0.0
111,0.7937298839999869,64.07,37.93,0.0
112,1.2028284470000017,64.15,37.85,0.0
113,1.2357203699999957,64.65,37.35,0.0
114,0.6608272629999874,62.67,39.33,0.0
115,1.2698981609999862,64.21,37.79,0.0
116,0.7278533969999899,64.15,37.85,0.0
117,0.7243853219999892,63.0,39.0,0.0
118,0.7595181709999963,63.12,38.88,0.0
119,0.7542202389999773,64.77,37.23,0.0
120,0.7460775119999994,64.4,37.6,0.0
121,0.6904618079999807,64.15,37.85,0.0
122,0.6566556650000166,64.87,37.13,0.0
123,0.7832402919999879,63.75,38.25,0.0
124,0.6594853610000087,63.74,38.26,0.0
125,0.6336172169999941,63.4,38.6,0.0
126,0.690318383999994,64.44,37.56,0.0
127,0.6944451749999985,63.95,38.05,0.0
128,0.5765438009999855,64.34,37.66,0.0
129,0.574666083000011,63.95,38.05,0.0
130,0.7155649819999894,64.21,37.79,0.0
131,1.2238507630000015,63.94,38.06,0.0
132,1.1567285360000028,63.42,38.58,0.0
133,0.8192546599999844,64.17,37.83,0.0
134,0.7357842010000013,64.11,37.89,0.0
135,0.6287215639999886,63.17,38.83,0.0
136,0.6301024839999911,64.8,37.2,0.0
137,0.6455490779999877,62.97,39.03,0.0
138,0.6167497959999935,64.14,37.86,0.0
139,0.9350571180000031,65.1,36.9,0.0
140,1.6447262909999836,63.63,38.37,0.0
141,1.2659809460000133,63.28,38.72,0.0
142,0.8449593030000244,63.19,38.81,0.0
143,0.7162274140000022,63.72,38.28,0.0
144,0.7240786049999883,64.24,37.76,0.0
145,1.0180150150000031,63.99,38.01,0.0
146,0.7482835829999885,65.14,36.86,0.0
147,0.6840440900000146,64.28,37.72,0.0
148,0.6796418879999919,63.59,38.41,0.0
149,0.6547649590000049,64.61,37.39,0.0
150,0.6872306710000089,64.94,37.06,0.0
151,0.6403880829999764,64.19,37.81,0.0
152,0.6733100750000176,63.8,38.2,0.0
153,0.6721545199999923,65.15,36.85,0.0
154,0.6333390230000191,64.39,37.61,0.0
155,0.7295495200000062,63.24,38.76,0.0
156,0.7896002790000125,64.17,37.83,0.0
