iter,time,reward,steps,convergence
1,0.07261659599998893,-466.1,300.0,79.7263675492224
2,0.09230243000001792,-499.73,300.0,68.56176449233567
3,0.17976975800002037,-468.47,300.0,60.20893081362309
4,0.1480068139999844,-452.52,300.0,47.68210517747028
5,0.1645704969999997,-357.99,300.0,38.8047800950436
6,0.18443068499999526,-355.33,300.0,41.43272471747749
7,0.28228364699998565,-355.04,300.0,35.44049788155429
8,0.3103067830000441,-353.32,300.0,30.330444247832286
9,0.3365453220000063,-349.91,300.0,29.72356156855777
10,0.4679578509999942,-348.19,300.0,32.0905571493152
11,0.3913824929999805,-353.5,300.0,21.010069283620595
12,0.3775379189999626,-354.37,300.0,22.68120911080974
13,0.42534198700002435,-351.14,300.0,20.70362874129772
14,0.6742736209999975,-355.22,300.0,22.78870379532716
15,0.8902239199999826,-356.73,300.0,23.139435773521356
16,0.6247070759999929,-357.5,300.0,22.080831116904236
17,0.513859860000025,-356.66,300.0,19.568577169431926
18,0.4900877769999852,-353.8,300.0,14.953803551430438
19,0.5867652199999611,-349.67,300.0,17.681159645158527
20,0.6725879109999937,-351.3,300.0,16.859424788438872
21,1.0539270689999967,-355.82,300.0,17.837108534727264
22,1.0312023559999943,-353.26,300.0,14.870126218300541
23,0.9504877840000177,-351.45,300.0,14.120341533162538
24,0.8556535779999876,-356.51,300.0,14.373593837230061
25,0.757519574000014,-350.87,300.0,10.374284477377898
26,0.6921778249999875,-351.4,300.0,9.141809346751316
27,1.1297159189999775,-353.32,300.0,9.400625115131405
28,0.8687460090000059,-348.22,300.0,11.117447992788637
29,1.4473495579999849,-356.28,300.0,9.428898678040973
30,1.7063530149999906,-350.8,300.0,9.378668846353172
31,1.530479706000051,-352.97,300.0,8.140401829070381
32,1.1957947489999583,-354.77,300.0,8.709762062835559
33,1.0683292449999726,-354.58,300.0,9.690286695918182
34,1.0251578400000199,-350.21,300.0,8.146549738606566
35,1.0904288380000366,-351.83,300.0,7.113406129482229
36,1.175384345999987,-352.89,300.0,6.852622551436447
37,1.1317592359999935,-350.87,300.0,8.132347858492157
38,1.1537206849999961,-347.75,300.0,6.506468787634084
39,1.1453942059999918,-346.14,300.0,6.208827491575462
40,1.0844369179999944,-343.55,298.0,5.439226453192781
41,1.068525382999951,-348.89,300.0,3.9584494475044956
42,1.0797186970000325,-342.42,298.06,4.694174953665822
43,1.1044962119999582,-348.98,299.73,4.333813085287694
44,1.1315813020000292,-335.61,295.3,4.034808751327667
45,1.1438963830000262,-320.01,286.15,3.844945125475647
46,1.2006233449999968,-307.02,281.39,3.3014091455439214
47,1.4361744049999743,-286.69,270.43,2.966349488370195
48,1.4977720470000122,-252.02,253.87,2.608381305294998
49,1.608387840999967,-208.2,225.56,2.3194955809351328
50,1.3960128880000298,-217.25,231.94,2.0929055914171855
51,1.530625303000022,-211.18,227.84,2.0207843595448196
52,1.6145774940000024,-97.89,148.42,1.6352084206729955
53,1.486665280000011,-82.25,139.79,1.854031044874148
54,1.4503093019999937,-72.8,127.38,2.2199345254916167
55,1.428129829999989,-68.27,124.98,1.3812072010058003
56,1.4372056189999967,-77.98,131.51,1.3334279537651668
57,1.4884898970000222,-70.2,124.78,1.2992246235572296
58,1.5427329249999957,-73.53,126.71,1.2312677945980823
59,1.5670632789999672,-67.96,125.4,1.2000780277702745
60,1.65248623399998,-75.21,128.06,1.1742086716452604
61,1.609395290000009,-73.04,126.08,1.1478440311076739
62,1.796814196000014,-57.23,111.37,1.0836562805704517
63,1.8244743590000212,-53.21,110.72,1.0209921850650119
64,2.11374341100003,-55.66,111.05,0.9082560563254063
65,1.7659310810000193,-58.74,111.55,0.7860484775537699
66,1.8564854969999942,-61.06,112.23,0.6821868402918483
67,2.131656942999996,-53.91,110.14,0.5791831590635752
68,2.0468298320000144,-53.84,110.66,0.4826481228437416
69,1.9622314459999757,-61.56,113.06,0.39548169040854475
70,1.8531896590000088,-59.7,112.54,0.3221066962524475
71,1.8012177429999952,-63.78,113.61,0.26457688509135835
72,1.827235093000013,-59.47,111.41,0.2144098357853892
73,1.8522690180000154,-56.67,112.72,0.17023329278869426
74,1.9529573209999853,-50.58,111.39,0.1337473341363733
75,2.0792453469999828,-56.9,110.19,0.10476909419067226
76,2.164764237999975,-55.92,111.45,0.08199847868904442
77,2.2458594720000065,-58.3,112.63,0.06386439914312803
78,2.1711965769999892,-62.47,113.11,0.04923371384504094
79,2.236805574000016,-54.49,112.18,0.03740036451824835
80,2.146987230000036,-57.51,112.75,0.02791675619931766
81,2.084034153999994,-55.79,111.14,0.020445578193999836
82,2.2195783180000035,-61.3,112.28,0.014685856978744027
83,2.4022435789999577,-59.46,111.31,0.010349047443739323
84,2.5924410839999723,-56.22,111.21,0.00716042083308821
85,3.0655796290000126,-56.18,112.05,0.0048692339656213335
86,2.355264558999977,-58.93,112.41,0.0032580869297618165
87,2.439056502000028,-55.79,111.05,0.0021475865286788576
88,2.6694031950000294,-55.04,112.28,0.0013961038081191646
89,2.591178558000024,-51.97,110.11,0.000896047974663361
90,2.555134632999966,-58.12,111.59,0.0005683646398466635
91,2.592189152000003,-59.33,111.98,0.00035662086297350015
92,2.536459268000044,-55.47,110.53,0.00022153273113190153
93,2.5357127920000266,-57.49,110.78,0.00013635001168665895
94,2.5654805870000246,-56.39,111.97,8.320746475476426e-05
95,2.7351853730000357,-58.29,113.06,5.0377228944853414e-05
96,2.822182827000006,-59.74,111.76,3.0277494516894876e-05
97,2.775142532000018,-55.29,110.55,1.8073582367605923e-05
98,2.4817036849999567,-60.05,110.39,1.0720392651819566e-05
99,3.008227851000015,-57.2,112.02,6.321257856711782e-06
100,3.1740836239999908,-56.03,111.67,3.7067191698270108e-06
101,3.0809872570000607,-57.5,111.85,2.1623246198032575e-06
102,3.2154252979999,-53.16,110.72,1.2552642942864622e-06
103,3.288423042999966,-57.31,111.23,7.253681530983158e-07
104,2.993960823000066,-54.11,110.77,4.1735543732102087e-07
105,2.8967627170000014,-62.81,112.69,2.391573588056417e-07
106,2.9528411329999926,-54.71,111.52,1.3651769847911055e-07
107,3.004224399000009,-62.25,112.16,7.764465692616795e-08
108,3.0663444609999715,-57.3,112.3,4.400838804485829e-08
109,3.111065225999937,-58.35,111.5,2.4862089276211918e-08
110,3.122360816000082,-59.86,111.83,1.400202620516211e-08
111,2.9333141309999746,-57.29,111.69,7.862553275117534e-09
112,2.988308661000019,-57.02,110.95,4.402707531880878e-09
113,3.1382606600000145,-57.68,111.14,2.4587478719695355e-09
114,3.3815037919999895,-56.46,112.81,1.3696563883058843e-09
115,3.2110319079999954,-58.15,111.57,7.611333785462193e-10
116,3.069357638999918,-58.66,111.76,4.220197524773539e-10
117,3.285200259000021,-58.52,111.07,2.334985538254841e-10
118,3.341580945999908,-57.0,110.69,1.2889245226688217e-10
119,3.2784234429999515,-58.17,111.91,7.102585186657961e-11
120,3.2754716220000546,-59.62,112.94,3.906563961209031e-11
121,3.4448449870000104,-55.32,109.2,2.1444179765239824e-11
122,3.4217492179999454,-61.59,112.84,1.1752376849472057e-11
123,3.4030651639999405,-62.06,112.02,6.423306331271306e-12
124,3.3596722510000063,-58.8,112.51,3.510081114654895e-12
125,3.4156178619999764,-61.43,111.07,1.9326762412674725e-12
126,3.5856911349999336,-56.96,111.9,1.0373923942097463e-12
127,4.074285206000013,-58.67,112.47,5.684341886080801e-13
128,3.60102465500006,-56.17,111.66,2.984279490192421e-13
129,4.023217852000016,-57.93,110.98,1.7053025658242404e-13
130,4.029957082999999,-60.02,111.94,9.947598300641403e-14
131,3.521210314999962,-56.99,111.06,4.263256414560601e-14
132,3.3599022209999703,-55.68,111.47,4.263256414560601e-14
133,3.5819386489999943,-57.17,112.17,1.4210854715202004e-14
134,3.863584579000076,-59.55,112.79,7.105427357601002e-15
135,3.9650876659999312,-57.03,111.11,0.0
136,3.5158506400000533,-57.39,112.06,0.0
137,3.4888920309999776,-55.37,111.4,0.0
138,3.696446401000003,-60.56,112.15,0.0
139,3.6102363070000365,-57.66,111.65,0.0
140,4.128429387999972,-62.02,114.94,0.0
141,3.978273317000003,-56.82,110.31,0.0
142,4.175427904999992,-55.3,110.51,0.0
143,4.172352812999975,-57.85,110.03,0.0
144,3.943887424999957,-56.2,109.36,0.0
145,4.103156479999939,-57.59,112.01,0.0
146,4.0390396269999655,-53.44,109.42,0.0
147,3.8985332320000907,-57.8,111.58,0.0
148,3.930580831000043,-59.82,112.03,0.0
149,4.254453588000047,-57.5,112.19,0.0
150,4.640889500999947,-56.88,112.48,0.0
151,4.412069151999958,-57.1,110.93,0.0
152,4.314441064000107,-58.08,113.61,0.0
153,4.285025552999969,-54.11,111.28,0.0
154,4.2306590800000095,-61.93,112.45,0.0
155,4.3255435380000335,-60.2,112.04,0.0
156,4.387621039999999,-55.13,110.27,0.0
157,4.631508652000093,-56.72,111.36,0.0
158,4.172106640000038,-63.04,112.61,0.0
159,4.352074278000032,-60.48,112.7,0.0
160,4.087177814000029,-56.8,111.76,0.0
161,4.724539292000031,-54.09,110.59,0.0
162,4.67625685500002,-63.54,112.2,0.0
163,4.519481223000071,-59.96,110.88,0.0
164,4.626291718999937,-57.2,112.3,0.0
165,4.767653464999967,-54.59,110.58,0.0
166,4.948783793999951,-56.72,111.12,0.0
167,4.908987582999998,-57.88,111.85,0.0
168,5.017596327999968,-52.55,111.56,0.0
169,4.836868496999955,-53.91,109.77,0.0
170,4.73800333500003,-57.29,111.5,0.0
171,5.367848119999962,-56.35,111.43,0.0
172,5.276772323000046,-55.87,111.63,0.0
173,4.975960136000026,-59.63,110.52,0.0
174,4.909888491000061,-55.92,109.95,0.0
175,4.979715443000032,-59.34,112.38,0.0
176,5.230858765999983,-59.9,111.4,0.0
177,5.08748485600006,-60.99,112.28,0.0
178,4.708171744999959,-54.35,112.07,0.0
179,5.143831889000012,-63.09,113.05,0.0
180,5.495961962000024,-50.01,110.41,0.0
181,5.6015740899999855,-56.93,110.59,0.0
182,5.909627441999987,-54.96,111.47,0.0
183,4.834397948999936,-56.24,111.28,0.0
184,4.81676852399994,-58.36,111.84,0.0
185,5.3655319680000275,-56.9,110.91,0.0
186,5.381241014000011,-53.66,111.72,0.0
187,5.431246387999977,-57.28,110.55,0.0
188,5.389840538000044,-58.47,111.11,0.0
189,5.632717337000031,-59.38,112.01,0.0
190,5.751353282999958,-56.85,113.26,0.0
191,5.316755076999925,-58.54,113.13,0.0
192,5.388911076999989,-55.91,110.68,0.0
193,5.115738041999975,-60.98,111.99,0.0
194,5.187264841000001,-53.82,111.14,0.0
195,5.478696575000072,-58.65,111.56,0.0
196,5.765159230999984,-54.17,111.35,0.0
197,5.577659420000032,-57.27,112.01,0.0
198,5.082194641000001,-59.99,112.53,0.0
199,5.924899687999982,-56.56,111.35,0.0
200,5.577906204999977,-58.63,113.45,0.0
